,Survived,PassengerId
166,1,1058
167,0,1059
168,0,1060
169,0,1061
170,0,1062
171,0,1063
172,0,1064
173,0,1065
174,0,1066
175,0,1067
176,0,1068
177,0,1069
178,0,1070
179,1,1071
180,0,1072
181,1,1073
182,1,1074
183,0,1075
184,1,1076
185,0,1077
186,1,1078
187,0,1079
188,0,1080
189,0,1081
190,0,1082
191,0,1083
192,0,1084
193,1,1085
194,0,1086
195,0,1087
196,1,1088
197,0,1089
198,0,1090
199,0,1091
200,1,1092
201,1,1093
202,1,1094
203,1,1095
204,0,1096
205,0,1097
206,0,1098
207,0,1099
208,1,1100
209,0,1101
210,1,1102
211,0,1103
212,0,1104
213,0,1105
214,0,1106
215,0,1107
216,1,1108
217,1,1109
218,1,1110
219,0,1111
220,0,1112
221,0,1113
222,0,1114
223,0,1115
224,0,1116
225,1,1117
226,0,1118
227,1,1119
228,0,1120
229,1,1121
230,1,1122
231,1,1123
232,0,1124
233,0,1125
234,1,1126
235,0,1127
236,1,1128
237,0,1129
238,0,1130
239,0,1131
240,0,1132
241,0,1133
242,1,1134
243,0,1135
244,0,1136
245,1,1137
246,0,1138
247,0,1139
248,1,1140
249,0,1141
250,1,1142
251,0,1143
252,1,1144
253,0,1145
254,0,1146
255,0,1147
256,0,1148
257,0,1149
258,0,1150
259,0,1151
260,1,1152
261,0,1153
262,0,1154
263,1,1155
264,0,1156
265,0,1157
266,0,1158
267,0,1159
268,0,1160
269,0,1161
270,1,1162
271,0,1163
272,1,1164
273,1,1165
274,0,1166
275,1,1167
276,0,1168
277,0,1169
278,1,1170
279,0,1171
280,0,1172
281,1,1173
282,1,1174
283,0,1175
284,1,1176
285,0,1177
286,0,1178
287,1,1179
288,0,1180
289,0,1181
290,0,1182
291,0,1183
292,0,1184
293,1,1185
294,0,1186
295,0,1187
296,1,1188
297,1,1189
298,0,1190
299,0,1191
300,0,1192
301,0,1193
302,0,1194
303,0,1195
304,1,1196
305,0,1197
306,0,1198
307,1,1199
308,1,1200
309,0,1201
310,0,1202
311,0,1203
312,0,1204
313,0,1205
314,1,1206
315,1,1207
316,1,1208
317,0,1209
318,1,1210
319,1,1211
320,0,1212
321,0,1213
322,0,1214
323,1,1215
324,1,1216
325,0,1217
326,0,1218
327,1,1219
328,1,1220
329,0,1221
330,0,1222
331,0,1223
332,0,1224
333,0,1225
334,1,1226
335,1,1227
336,1,1228
337,0,1229
338,1,1230
339,0,1231
340,0,1232
341,0,1233
342,0,1234
343,1,1235
344,0,1236
345,0,1237
346,0,1238
347,0,1239
348,0,1240
349,0,1241
350,1,1242
351,0,1243
352,0,1244
353,0,1245
354,1,1246
355,1,1247
356,1,1248
357,0,1249
358,0,1250
359,1,1251
360,0,1252
361,0,1253
362,0,1254
363,1,1255
364,1,1256
365,0,1257
366,0,1258
367,0,1259
368,1,1260
369,0,1261
370,0,1262
371,1,1263
372,0,1264
373,1,1265
374,1,1266
375,1,1267
376,0,1268
377,0,1269
378,1,1270
379,0,1271
380,0,1272
381,0,1273
382,0,1274
383,0,1275
384,0,1276
385,1,1277
386,0,1278
387,0,1279
388,0,1280
389,0,1281
390,1,1282
391,0,1283
392,0,1284
393,0,1285
394,1,1286
395,1,1287
396,0,1288
397,1,1289
398,0,1290
399,0,1291
400,0,1292
401,1,1293
402,1,1294
403,0,1295
404,1,1296
405,0,1297
406,0,1298
407,1,1299
408,1,1300
409,1,1301
410,1,1302
411,1,1303
412,0,1304
413,0,1305
414,1,1306
415,0,1307
416,0,1308
417,1,1309
